,testde_1,testde_2,camelsde_111740,camelsde_111630
1980-06-02,,,,
1980-06-03,,,,
1980-06-04,,,,
1980-06-05,,,,
1980-06-06,,,,
1980-06-07,,,,
1980-06-08,,,,
1980-06-09,,,,
1980-06-10,,,,
1980-06-11,,,,
1980-06-12,,,,
1980-06-13,,,,
1980-06-14,,,,
1980-06-15,,,,
1980-06-16,,,,
1980-06-17,,,,
1980-06-18,,,,
1980-06-19,,,,
1980-06-20,,,,
1980-06-21,,,,
1980-06-22,,,,
1980-06-23,,,,
1980-06-24,,,,
1980-06-25,,,,
1980-06-26,,,,
1980-06-27,,,,
1980-06-28,,,,
1980-06-29,,,,
1980-06-30,,,,
1980-07-01,,,,
1980-07-02,,,,
1980-07-03,,,,
1980-07-04,,,,
1980-07-05,,,,
1980-07-06,,,,
1980-07-07,,,,
1980-07-08,,,,
1980-07-09,,,,
1980-07-10,,,,
1980-07-11,,,,
1980-07-12,,,,
1980-07-13,,,,
1980-07-14,,,,
1980-07-15,,,,
1980-07-16,,,,
1980-07-17,,,,
1980-07-18,,,,
1980-07-19,,,,
1980-07-20,,,,
1980-07-21,,,,
1980-07-22,,,,
1980-07-23,,,,
1980-07-24,,,,
1980-07-25,,,,
1980-07-26,,,,
1980-07-27,,,,
1980-07-28,,,,
1980-07-29,,,,
1980-07-30,,,,
1980-07-31,,,,
1980-08-01,,,,
1980-08-02,,,,
1980-08-03,,,,
1980-08-04,,,,
1980-08-05,,,,
1980-08-06,,,,
1980-08-07,,,,
1980-08-08,,,,
1980-08-09,,,,
1980-08-10,,,,
1980-08-11,,,,
1980-08-12,,,,
1980-08-13,,,,
1980-08-14,,,,
1980-08-15,,,,
1980-08-16,,,,
1980-08-17,,,,
1980-08-18,,,,
1980-08-19,,,,
1980-08-20,,,,
1980-08-21,,,,
1980-08-22,,,,
1980-08-23,,,,
1980-08-24,,,,
1980-08-25,,,,
1980-08-26,,,,
1980-08-27,,,,
1980-08-28,,,,
1980-08-29,,,,
1980-08-30,,,,
1980-08-31,,,,
1980-09-01,,,,
1980-09-02,,,,
1980-09-03,,,,
1980-09-04,,,,
1980-09-05,,,,
1980-09-06,,,,
1980-09-07,,,,
1980-09-08,,,,
1980-09-09,,,,
1980-09-10,,,,
1980-09-11,,,,
1980-09-12,,,,
1980-09-13,,,,
1980-09-14,,,,
1980-09-15,,,,
1980-09-16,,,,
1980-09-17,,,,
1980-09-18,,,,
1980-09-19,,,,
1980-09-20,,,,
1980-09-21,,,,
1980-09-22,,,,
1980-09-23,,,,
1980-09-24,,,,
1980-09-25,,,,
1980-09-26,,,,
1980-09-27,,,,
1980-09-28,,,,
1980-09-29,,,,
1980-09-30,,,,
1980-10-01,,,,
1980-10-02,,,,
1980-10-03,,,,
1980-10-04,,,,
1980-10-05,,,,
1980-10-06,,,,
1980-10-07,,,,
1980-10-08,,,,
1980-10-09,,,,
1980-10-10,,,,
1980-10-11,,,,
1980-10-12,,,,
1980-10-13,,,,
1980-10-14,,,,
1980-10-15,,,,
1980-10-16,,,,
1980-10-17,,,,
1980-10-18,,,,
1980-10-19,,,,
1980-10-20,,,,
1980-10-21,,,,
1980-10-22,,,,
1980-10-23,,,,
1980-10-24,,,,
1980-10-25,,,,
1980-10-26,,,,
1980-10-27,,,,
1980-10-28,,,,
1980-10-29,,,,
1980-10-30,,,,
1980-10-31,,,,
1980-11-01,,,,
1980-11-02,,,,
1980-11-03,,,,
1980-11-04,,,,
1980-11-05,,,,
1980-11-06,,,,
1980-11-07,,,,
1980-11-08,,,,
1980-11-09,,,,
1980-11-10,,,,
1980-11-11,,,,
1980-11-12,,,,
1980-11-13,,,,
1980-11-14,,,,
1980-11-15,,,,
1980-11-16,,,,
1980-11-17,,,,
1980-11-18,,,,
1980-11-19,,,,
1980-11-20,,,,
1980-11-21,,,,
1980-11-22,,,,
1980-11-23,,,,
1980-11-24,,,,
1980-11-25,,,,
1980-11-26,,,,
1980-11-27,,,,
1980-11-28,,,,
1980-11-29,,,,
1980-11-30,,,,
1980-12-01,,,,
1980-12-02,,,,
1980-12-03,,,,
1980-12-04,,,,
1980-12-05,,,,
1980-12-06,,,,
1980-12-07,,,,
1980-12-08,,,,
1980-12-09,,,,
1980-12-10,,,,
1980-12-11,,,,
1980-12-12,,,,
1980-12-13,,,,
1980-12-14,,,,
1980-12-15,,,,
1980-12-16,,,,
1980-12-17,,,,
1980-12-18,,,,
1980-12-19,,,,
1980-12-20,,,,
1980-12-21,,,,
1980-12-22,,,,
1980-12-23,,,,
1980-12-24,,,,
1980-12-25,,,,
1980-12-26,,,,
1980-12-27,,,,
1980-12-28,,,,
1980-12-29,,,,
1980-12-30,,,,
1980-12-31,,1.1212858,,
1981-01-01,,1.9810259,,
1981-01-02,,10.135611,,
1981-01-03,,21.607668,,
1981-01-04,,4.9239187,,
1981-01-05,,2.43521,,
1981-01-06,,5.9854965,,
1981-01-07,,1.9105446,,
1981-01-08,,1.4768286,,
1981-01-09,,3.4529498,,
1981-01-10,,6.0554085,,
1981-01-11,,2.522715,,
1981-01-12,,3.4503517,,
1981-01-13,,1.1471702,,
1981-01-14,,2.9216442,,
1981-01-15,,2.2089374,,
1981-01-16,,1.7721406,,
1981-01-17,,5.9259195,,
1981-01-18,,8.4983635,,
1981-01-19,,7.9326067,,
1981-01-20,,3.2684727,,
1981-01-21,,2.4138136,,
1981-01-22,,0.67435646,,
1981-01-23,,0.53106236,,
1981-01-24,,0.5587926,,
1981-01-25,,5.6634016,,
1981-01-26,,1.2331444,,
1981-01-27,,0.72688437,,
1981-01-28,,1.5924726,,
1981-01-29,,0.5360837,,
1981-01-30,,0.37646294,,
1981-01-31,,0.42753053,,
1981-02-01,,0.52006984,,
1981-02-02,,0.49774194,,
1981-02-03,,9.69274,,
1981-02-04,,11.64324,,
1981-02-05,,2.0140066,,
1981-02-06,,6.1394863,,
1981-02-07,,6.895817,,
1981-02-08,,2.3470645,,
1981-02-09,,2.061389,,
1981-02-10,,2.8994133,,
1981-02-11,,1.2421032,,
1981-02-12,,0.5942848,,
1981-02-13,,0.22881484,,
1981-02-14,,0.14324665,,
1981-02-15,,0.22950959,,
1981-02-16,,0.11220908,,
1981-02-17,,0.59529924,,
1981-02-18,,0.8264947,,
1981-02-19,,1.399335,,
1981-02-20,,2.2945457,,
1981-02-21,,0.71605873,,
1981-02-22,,0.37690496,,
1981-02-23,,0.22757912,,
1981-02-24,,0.13722396,,
1981-02-25,,0.5919173,,
1981-02-26,,-0.10675883,,
1981-02-27,,-0.07593298,,
1981-02-28,,1.6208749,,
1981-03-01,,1.483434,,
1981-03-02,,1.1733221,,
1981-03-03,,2.471177,,
1981-03-04,,2.6247544,,
1981-03-05,,1.8387386,,
1981-03-06,,1.3577297,,
1981-03-07,,1.497744,,
1981-03-08,,2.71889,,
1981-03-09,,6.1929283,,
1981-03-10,,16.763882,,
1981-03-11,,6.9098434,,
1981-03-12,,7.831587,,
1981-03-13,,7.267417,,
1981-03-14,,1.7510408,,
1981-03-15,,1.389415,,
1981-03-16,,2.683905,,
1981-03-17,,2.6619353,,
1981-03-18,,1.6908793,,
1981-03-19,,1.6580262,,
1981-03-20,,0.30432367,,
1981-03-21,,0.24748349,,
1981-03-22,,0.5773239,,
1981-03-23,,4.916856,,
1981-03-24,,8.207581,,
1981-03-25,,7.2511206,,
1981-03-26,,4.6456256,,
1981-03-27,,0.22366714,,
1981-03-28,,0.06913376,,
1981-03-29,,0.46359754,,
1981-03-30,,2.2666879,,
1981-03-31,,1.4490572,,
1981-04-01,,1.8017848,,
1981-04-02,,1.8143817,,
1981-04-03,,0.7885835,,
1981-04-04,,2.151162,,
1981-04-05,,1.538887,,
1981-04-06,,0.81239843,,
1981-04-07,,0.25430346,,
1981-04-08,,1.1329383,,
1981-04-09,,0.719188,,
1981-04-10,,0.074781656,,
1981-04-11,,0.049617052,,
1981-04-12,,0.8139682,,
1981-04-13,,0.7992494,,
1981-04-14,,2.7064536,,
1981-04-15,,-0.020663261,,
1981-04-16,,0.10135889,,
1981-04-17,,0.47432923,,
1981-04-18,,0.7259679,,
1981-04-19,,1.9869819,,
1981-04-20,,0.48693085,,
1981-04-21,,0.049316168,,
1981-04-22,,1.7796408,,
1981-04-23,,0.76798725,,
1981-04-24,,-0.051736593,,
1981-04-25,,0.59854436,,
1981-04-26,,3.1200185,,
1981-04-27,,18.870428,,
1981-04-28,,3.4188652,,
1981-04-29,,3.2063766,,
1981-04-30,,3.7666664,,
1981-05-01,,11.33321,,
1981-05-02,,1.8755342,,
1981-05-03,,3.0461993,,
1981-05-04,,5.5723925,,
1981-05-05,,3.71544,,
1981-05-06,,5.113929,,
1981-05-07,,0.79194856,,
1981-05-08,,2.080702,,
1981-05-09,,0.24032712,,
1981-05-10,,-0.015949965,,
1981-05-11,,4.2145076,,
1981-05-12,,3.4530773,,
1981-05-13,,1.9607694,,
1981-05-14,,3.2355106,,
1981-05-15,,1.8914789,,
1981-05-16,,1.9863873,,
1981-05-17,,3.2229152,,
1981-05-18,,0.36803436,,
1981-05-19,,0.57554626,,
1981-05-20,,0.48450708,,
1981-05-21,,0.6101787,,
1981-05-22,,3.2182286,,
1981-05-23,,0.7865665,,
1981-05-24,,3.5037432,,
1981-05-25,,5.4118166,,
1981-05-26,,5.78738,,
1981-05-27,,10.2151165,,
1981-05-28,,2.0974073,,
1981-05-29,,3.773887,,
1981-05-30,,0.63456845,,
1981-05-31,,0.8402865,,
1981-06-01,,2.3497453,,
1981-06-02,,0.90586114,,
1981-06-03,,12.302552,,
1981-06-04,,11.754392,,
1981-06-05,,1.0422487,,
1981-06-06,,3.1766243,,
1981-06-07,,3.298017,,
1981-06-08,,7.1828985,,
1981-06-09,,6.8461666,,
1981-06-10,,2.219987,,
1981-06-11,,0.085856915,,
1981-06-12,,3.4683847,,
1981-06-13,,0.007370472,,
1981-06-14,,0.40552258,,
1981-06-15,,0.69381285,,
1981-06-16,,5.421625,,
1981-06-17,,1.8710768,,
1981-06-18,,3.4510665,,
1981-06-19,,1.7368488,,
1981-06-20,,3.0054529,,
1981-06-21,,2.6486204,,
1981-06-22,,1.611938,,
1981-06-23,,0.5201824,,
1981-06-24,,0.18474317,,
1981-06-25,,0.19511414,,
1981-06-26,,1.899888,,
1981-06-27,,0.5602546,,
1981-06-28,,1.1135799,,
1981-06-29,,4.1469607,,
1981-06-30,,1.2335355,,
1981-07-01,,1.1129855,,
1981-07-02,,0.8486173,,
1981-07-03,,7.9858236,,
1981-07-04,,0.8669317,,
1981-07-05,,0.8966224,,
1981-07-06,,1.157198,,
1981-07-07,,1.0433449,,
1981-07-08,,0.3007419,,
1981-07-09,,0.3242147,,
1981-07-10,,0.79854536,,
1981-07-11,,3.1783907,,
1981-07-12,,4.03368,,
1981-07-13,,7.7215433,,
1981-07-14,,1.8097144,,
1981-07-15,,3.0037282,,
1981-07-16,,2.9147384,,
1981-07-17,,9.529142,,
1981-07-18,,4.041528,,
1981-07-19,,3.5134387,,
1981-07-20,,6.710515,,
1981-07-21,,3.7222004,,
1981-07-22,,1.9560065,,
1981-07-23,,6.4861326,,
1981-07-24,,0.9388354,,
1981-07-25,,2.8030884,,
1981-07-26,,4.024109,,
1981-07-27,,3.2522693,,
1981-07-28,,1.7576412,,
1981-07-29,,0.7447355,,
1981-07-30,,0.7185364,,
1981-07-31,,0.38797617,,
1981-08-01,,3.6666446,,
1981-08-02,,2.058981,,
1981-08-03,,2.0324895,,
1981-08-04,,2.3363378,,
1981-08-05,,0.5745897,,
1981-08-06,,0.24425006,,
1981-08-07,,3.3904574,,
1981-08-08,,3.2195208,,
1981-08-09,,8.561484,,
1981-08-10,,9.435487,,
1981-08-11,,4.928196,,
1981-08-12,,2.3465528,,
1981-08-13,,0.46835685,,
1981-08-14,,0.6267588,,
1981-08-15,,0.19067597,,
1981-08-16,,1.041415,,
1981-08-17,,0.7561395,,
1981-08-18,,0.14417934,,
1981-08-19,,0.33232737,,
1981-08-20,,7.576191,,
1981-08-21,,1.1692983,,
1981-08-22,,1.4596176,,
1981-08-23,,1.2815292,,
1981-08-24,,0.9073173,,
1981-08-25,,0.53529096,,
1981-08-26,,2.0659976,,
1981-08-27,,2.023693,,
1981-08-28,,1.8174127,,
1981-08-29,,1.9361051,,
1981-08-30,,1.2083062,,
1981-08-31,,0.3519101,,
1981-09-01,,0.5606725,,
1981-09-02,,0.43438697,,
1981-09-03,,0.22540212,,
1981-09-04,,0.16079712,,
1981-09-05,,0.2181797,,
1981-09-06,,0.20685196,,
1981-09-07,,0.24309134,,
1981-09-08,,1.1809397,,
1981-09-09,,1.4919945,,
1981-09-10,,2.9714434,,
1981-09-11,,1.7665279,,
1981-09-12,,3.2536576,,
1981-09-13,,1.1209127,,
1981-09-14,,0.75105715,,
1981-09-15,,1.5536739,,
1981-09-16,,2.0458746,,
1981-09-17,,1.725171,,
1981-09-18,,0.7701154,,
1981-09-19,,2.7229657,,
1981-09-20,,1.2009777,,
1981-09-21,,1.793481,,
1981-09-22,,3.5154119,,
1981-09-23,,6.6437697,,
1981-09-24,,1.1911256,,
1981-09-25,,0.90798616,,
1981-09-26,,1.1024593,,
1981-09-27,,5.2189007,,
1981-09-28,,7.1545525,,
1981-09-29,,3.1084585,,
1981-09-30,,0.56874394,,
1981-10-01,,0.16371822,,
1981-10-02,,2.1713488,,
1981-10-03,,4.1526318,,
1981-10-04,,1.9552287,,
1981-10-05,,8.3208,,
1981-10-06,,1.025859,,
1981-10-07,,0.33255315,,
1981-10-08,,0.6140516,,
1981-10-09,,1.0877916,,
1981-10-10,,6.813117,,
1981-10-11,,5.4580913,,
1981-10-12,,6.9388027,,
1981-10-13,,2.0694818,,
1981-10-14,,2.3637726,,
1981-10-15,,32.142998,,
1981-10-16,,6.6592903,,
1981-10-17,,5.7756853,,
1981-10-18,,8.515168,,
1981-10-19,,5.592636,,
1981-10-20,,6.7882395,,
1981-10-21,,5.9092684,,
1981-10-22,,2.9944212,,
1981-10-23,,1.6514502,,
1981-10-24,,1.197624,,2.210211
1981-10-25,,1.2337873,,0.9379126
1981-10-26,,1.0085442,,1.2403989
1981-10-27,,2.2864356,,9.981274
1981-10-28,,1.4248863,,3.7341793
1981-10-29,,1.9116117,,1.0015471
1981-10-30,,10.598321,,7.44911
1981-10-31,,9.6517315,,8.775213
1981-11-01,,9.354991,,7.767765
1981-11-02,,3.1673398,,2.8889766
1981-11-03,,1.5260669,,1.5988033
1981-11-04,,1.1857848,,1.3834429
1981-11-05,,0.8339493,,1.1556429
1981-11-06,,0.5226073,,0.9100609
1981-11-07,,0.3782251,,0.67493725
1981-11-08,,0.66370845,,0.9076234
1981-11-09,,0.48654246,,0.6287775
1981-11-10,,0.30717182,,0.5641167
1981-11-11,,1.5064816,,1.2006515
1981-11-12,,3.212706,,3.2114222
1981-11-13,,1.5248836,,4.4003563
1981-11-14,,2.049326,,5.3419843
1981-11-15,,0.9897113,,2.451947
1981-11-16,,0.10527825,,0.29947424
1981-11-17,,0.35546994,,0.4064145
1981-11-18,,1.2592925,,1.6718606
1981-11-19,,2.3270745,,5.509407
1981-11-20,,0.62594724,,0.85492325
1981-11-21,,0.86153936,,0.77159715
1981-11-22,,1.2442986,,2.3827717
1981-11-23,,0.55629396,,0.58491063
1981-11-24,,0.42611647,,2.1771197
1981-11-25,,0.24944758,,1.1929629
1981-11-26,,1.957612,,2.6355739
1981-11-27,,2.4787521,,4.1324854
1981-11-28,,4.9071555,,7.3762693
1981-11-29,,7.53415,,5.8357487
1981-11-30,,12.557398,,12.667055
1981-12-01,,15.475266,,16.48742
1981-12-02,,2.0044575,,3.2685091
1981-12-03,,3.4626317,,4.2566805
1981-12-04,,14.235649,,13.224338
1981-12-05,,2.8084927,,4.7626286
1981-12-06,,4.973796,,3.0373647
1981-12-07,,7.2382097,,5.050768
1981-12-08,,12.368917,,14.580104
1981-12-09,,2.586957,,3.8617249
1981-12-10,,2.4488537,,2.560549
1981-12-11,,13.922135,,14.796664
1981-12-12,,5.1265984,,9.247984
1981-12-13,,0.81231666,,1.3718513
1981-12-14,,3.8404999,,3.4430993
1981-12-15,,5.742982,,8.498672
1981-12-16,,3.1675038,,6.0513077
1981-12-17,,2.0383823,,2.679252
1981-12-18,,5.9494896,,5.709387
1981-12-19,,2.6223414,,2.2170644
1981-12-20,,0.9893408,,0.68550944
1981-12-21,,5.305356,,4.8477283
1981-12-22,,1.7672471,,1.444777
1981-12-23,,2.8290882,,2.4410222
1981-12-24,,2.273559,,2.5069084
1981-12-25,,3.340848,,3.8721588
1981-12-26,,1.2912213,,1.6262879
1981-12-27,,0.7403414,,0.91299164
1981-12-28,,0.8798318,,0.8233652
1981-12-29,,0.6327791,,0.9006833
1981-12-30,,0.8262837,,0.7375829
1981-12-31,,5.0091724,,1.3878407
1982-01-01,,3.5089402,,2.2193036
1982-01-02,,3.506331,,2.4035435
1982-01-03,,3.2919104,,1.5291439
1982-01-04,,2.859769,,1.8965869
1982-01-05,,7.375906,,6.8185234
1982-01-06,,10.45163,,13.329953
1982-01-07,,0.30364227,,0.63211465
1982-01-08,,2.533138,,2.295781
1982-01-09,,6.4231873,,7.2052135
1982-01-10,,1.8563433,,2.1512167
1982-01-11,,8.119932,,7.1439047
1982-01-12,,0.614058,,0.7833607
1982-01-13,,0.27459645,,0.31363463
1982-01-14,,0.38979888,,0.4805193
1982-01-15,,0.5408304,,0.96135247
1982-01-16,,0.3429849,,0.21589088
1982-01-17,,0.42826176,,0.31707263
1982-01-18,,0.5280404,,0.73523355
1982-01-19,,0.3162806,,0.74107194
1982-01-20,,0.38213444,,0.6490252
1982-01-21,,1.6676729,,3.0351727
1982-01-22,,2.095546,,3.9559245
1982-01-23,,1.2119737,,1.8695606
1982-01-24,,0.994679,,1.9310428
1982-01-25,,0.3543496,,1.0723574
1982-01-26,,5.285221,,4.576986
1982-01-27,,1.3099916,,2.4175968
1982-01-28,,0.97795475,,1.7590533
1982-01-29,,4.2164516,,6.0322094
1982-01-30,,7.1358624,,11.434453
1982-01-31,,8.378561,,8.449384
1982-02-01,,0.6039469,,0.759712
1982-02-02,,-0.16604805,,0.09709072
1982-02-03,,-0.13203263,,-0.1259129
1982-02-04,,0.29351997,,0.016149282
1982-02-05,,0.3580017,,0.2015419
1982-02-06,,1.3553776,,1.0749172
1982-02-07,,2.6011412,,1.696947
1982-02-08,,3.4460754,,1.9862645
1982-02-09,,1.4626963,,1.5725857
1982-02-10,,0.55739284,,0.32301664
1982-02-11,,0.50560236,,0.43266916
1982-02-12,,0.62402534,,0.36286497
1982-02-13,,0.38547015,,0.28068948
1982-02-14,,2.7406855,,2.2860668
1982-02-15,,1.334684,,1.6360918
1982-02-16,,0.380502,,0.4252839
1982-02-17,,0.41591,,0.3320155
1982-02-18,,0.42677522,,0.7821827
1982-02-19,,1.5837691,,2.170288
1982-02-20,,0.06905556,,0.02583313
1982-02-21,,-0.06491208,,-0.068134785
1982-02-22,,0.085550785,,0.07010031
1982-02-23,,1.4571385,,0.9567282
1982-02-24,,0.98918855,,0.9112203
1982-02-25,,0.9987277,,0.8198309
1982-02-26,,1.5921208,,2.8527024
1982-02-27,,0.32472348,,0.40621924
1982-02-28,,3.5055728,,2.7981367
1982-03-01,,3.1246295,,3.4581444
1982-03-02,,4.637049,,4.7141304
1982-03-03,,3.09786,,1.790387
1982-03-04,,2.4350493,,3.9576006
1982-03-05,,1.8043693,,2.7691154
1982-03-06,,0.4014237,,0.89502287
1982-03-07,,0.27456474,,0.20757055
1982-03-08,,0.13527393,,0.17365694
1982-03-09,,1.19267,,0.8322499
1982-03-10,,2.6809726,,1.8556588
1982-03-11,,5.3941164,,5.4042845
1982-03-12,,4.146563,,3.1182761
1982-03-13,,2.658391,,2.5531392
1982-03-14,,1.7811303,,2.0899398
1982-03-15,,0.16277051,,0.27184677
1982-03-16,,2.172956,,1.8543344
1982-03-17,,6.2853155,,4.393036
1982-03-18,,2.3287485,,2.5734975
1982-03-19,,2.34928,,2.4803462
1982-03-20,,6.8650475,,7.611719
1982-03-21,,4.6387906,,6.819624
1982-03-22,,1.9419862,,1.827546
1982-03-23,,1.9885532,,2.0290499
1982-03-24,,-0.07753801,,0.069458246
1982-03-25,,0.12899828,,0.2104187
1982-03-26,,0.23274732,,0.23479319
1982-03-27,,0.21642351,,0.24734354
1982-03-28,,1.5753335,,1.1280947
1982-03-29,,3.602176,,4.7668753
1982-03-30,,3.1177816,,3.7694016
1982-03-31,,1.5215535,,1.953154
1982-04-01,,0.015554428,,0.10620093
1982-04-02,,0.71299005,,0.6090181
1982-04-03,,1.575221,,1.4510407
1982-04-04,,0.19900727,,0.13687348
1982-04-05,,-0.050381184,,0.08926582
1982-04-06,,1.1390088,,1.665527
1982-04-07,,5.362493,,4.225124
1982-04-08,,10.515365,,7.320901
1982-04-09,,4.1718254,,4.393876
1982-04-10,,6.128916,,4.026153
1982-04-11,,3.865558,,3.3619766
1982-04-12,,3.5649626,,2.4733963
1982-04-13,,0.91284776,,0.5841348
1982-04-14,,0.60145426,,0.4373138
1982-04-15,,-0.06251407,,-0.0015788078
1982-04-16,,0.04429841,,0.087953806
1982-04-17,,0.61222076,,0.678931
1982-04-18,,1.3114426,,0.8486786
1982-04-19,,0.44536042,,0.26588535
1982-04-20,,0.74496174,,0.4223547
1982-04-21,,1.8458754,,1.0672688
1982-04-22,,0.9477711,,0.3686633
1982-04-23,,1.0571183,,0.45984936
1982-04-24,,6.130771,,6.680155
1982-04-25,,0.7649572,,0.7660477
1982-04-26,,2.7656074,,3.0190597
1982-04-27,,0.81741,,1.0903766
1982-04-28,,1.7129711,,2.1970513
1982-04-29,,3.8501558,,4.8500443
1982-04-30,,1.7397133,,3.6451263
1982-05-01,,2.09067,,3.804977
1982-05-02,,0.68650913,,1.2762485
1982-05-03,,0.82119775,,0.7177515
1982-05-04,,5.206112,,4.142125
1982-05-05,,10.279882,,9.020789
1982-05-06,,7.001733,,4.6215
1982-05-07,,7.050027,,4.0830026
1982-05-08,,1.0839288,,0.8608463
1982-05-09,,6.428877,,3.1517885
1982-05-10,,5.917717,,6.609432
1982-05-11,,5.1260633,,4.1873527
1982-05-12,,0.20979428,,0.27307224
1982-05-13,,0.071927786,,0.20171833
1982-05-14,,0.18384433,,0.12358117
1982-05-15,,0.05934739,,0.21709228
1982-05-16,,0.42291522,,0.3671205
1982-05-17,,2.92554,,3.0870614
1982-05-18,,0.59731936,,1.1684695
1982-05-19,,1.8049241,,6.2391796
1982-05-20,,0.7482569,,1.6192883
1982-05-21,,1.5878516,,3.927597
1982-05-22,,2.8960783,,3.6253252
1982-05-23,,3.8299575,,4.4473715
1982-05-24,,2.518904,,5.88521
1982-05-25,,0.73194575,,1.0319732
1982-05-26,,-0.1870246,,-0.011100054
1982-05-27,,0.26978326,,0.3813889
1982-05-28,,3.877669,,2.708335
1982-05-29,,1.8590151,,1.2764006
1982-05-30,,-0.22555947,,0.032185793
1982-05-31,,-0.09256148,,0.18134189
1982-06-01,,0.82310176,,0.65021825
1982-06-02,,-0.15332007,,0.1515212
1982-06-03,,0.6238909,,0.60539055
1982-06-04,,1.3847421,,0.49348354
1982-06-05,,1.731703,,2.023286
1982-06-06,,2.7181933,,3.2032382
1982-06-07,,2.470488,,4.7166567
1982-06-08,,1.3532761,,1.1711448
1982-06-09,,0.45076156,,2.0687065
1982-06-10,,-0.24736929,,-0.030902863
1982-06-11,,6.271623,,6.2390413
1982-06-12,,2.6220207,,3.064519
1982-06-13,,5.624305,,5.6336827
1982-06-14,,2.0039065,,4.8358946
1982-06-15,,1.3626093,,1.6692107
1982-06-16,,6.517717,,9.881206
1982-06-17,,1.2793723,,3.3846962
1982-06-18,,1.2885709,,1.9263265
1982-06-19,,0.42028856,,0.90314543
1982-06-20,,-0.053800583,,0.29383135
1982-06-21,,1.4211165,,1.522559
1982-06-22,,5.052227,,3.828947
1982-06-23,,4.6302385,,9.834765
1982-06-24,,1.0096096,,1.2348865
1982-06-25,,0.95296407,,2.654898
1982-06-26,,7.2197533,,10.639115
1982-06-27,,4.93953,,5.2355413
1982-06-28,,6.333638,,4.864221
1982-06-29,,3.5483384,,3.4198484
1982-06-30,,0.80311465,,1.1816027
1982-07-01,,0.85307527,,0.88864636
1982-07-02,,0.24469829,,0.32855034
1982-07-03,,3.6047688,,3.1684728
1982-07-04,,7.9874897,,7.7459555
