date,snow_depth_water_equivalent_mean,surface_net_solar_radiation_mean,surface_net_thermal_radiation_mean,surface_pressure_mean,temperature_2m_mean,dewpoint_temperature_2m_mean,u_component_of_wind_10m_mean,v_component_of_wind_10m_mean,volumetric_soil_water_layer_1_mean,volumetric_soil_water_layer_2_mean,volumetric_soil_water_layer_3_mean,volumetric_soil_water_layer_4_mean,snow_depth_water_equivalent_min,surface_net_solar_radiation_min,surface_net_thermal_radiation_min,surface_pressure_min,temperature_2m_min,dewpoint_temperature_2m_min,u_component_of_wind_10m_min,v_component_of_wind_10m_min,volumetric_soil_water_layer_1_min,volumetric_soil_water_layer_2_min,volumetric_soil_water_layer_3_min,volumetric_soil_water_layer_4_min,snow_depth_water_equivalent_max,surface_net_solar_radiation_max,surface_net_thermal_radiation_max,surface_pressure_max,temperature_2m_max,dewpoint_temperature_2m_max,u_component_of_wind_10m_max,v_component_of_wind_10m_max,volumetric_soil_water_layer_1_max,volumetric_soil_water_layer_2_max,volumetric_soil_water_layer_3_max,volumetric_soil_water_layer_4_max,total_precipitation_sum,potential_evaporation_sum,streamflow
1980-01-12,4.21,48.83,-74.7,100.45,-4.55,-11.48,-2.53,-2.05,0.38,0.39,0.4,0.38,4.14,0.0,-98.37,100.41,-5.52,-12.1,-3.01,-2.45,0.38,0.39,0.4,0.38,4.27,238.73,-53.73,100.52,-2.98,-10.96,-1.51,-1.63,0.38,0.39,0.4,0.38,0.02,2.45,
1980-01-13,4.09,51.14,-82.78,100.26,-4.05,-10.67,-2.11,-1.01,0.37,0.38,0.4,0.38,4.04,0.0,-106.01,100.0,-6.13,-12.02,-2.97,-1.78,0.37,0.38,0.4,0.38,4.13,239.5,-68.67,100.46,-0.34,-8.9,-1.33,0.45,0.38,0.39,0.4,0.38,0.0,1.67,
1980-01-14,3.99,53.28,-76.02,99.27,-4.9,-10.0,-0.89,0.41,0.37,0.38,0.4,0.38,3.92,0.0,-108.52,98.69,-7.7,-11.08,-1.58,-0.23,0.37,0.38,0.4,0.38,4.05,249.89,-56.57,99.91,-1.52,-8.2,0.04,1.13,0.37,0.38,0.4,0.38,0.0,0.67,
1980-01-15,3.88,49.65,-70.1,98.26,-4.02,-8.12,-1.2,-0.82,0.37,0.38,0.4,0.38,3.82,0.0,-96.72,98.04,-6.79,-9.51,-1.55,-2.25,0.37,0.38,0.4,0.38,3.93,225.0,-56.63,98.63,1.0,-6.15,-0.97,0.5,0.37,0.38,0.4,0.38,0.0,0.83,
1980-01-16,3.81,31.56,-50.0,98.21,-3.8,-9.0,-2.03,-1.88,0.37,0.37,0.4,0.38,3.76,0.0,-71.62,97.98,-6.26,-10.87,-3.28,-2.62,0.37,0.37,0.4,0.38,3.83,163.77,-22.19,98.52,-1.19,-7.38,-1.1,-1.26,0.37,0.38,0.4,0.38,0.02,1.62,
1980-01-17,3.73,52.06,-76.75,98.57,-2.74,-8.34,-2.46,-0.95,0.36,0.37,0.4,0.38,3.68,0.0,-104.17,98.51,-4.64,-9.42,-3.05,-1.35,0.36,0.37,0.4,0.38,3.76,240.76,-52.53,98.69,0.33,-7.32,-1.97,-0.39,0.37,0.37,0.4,0.38,0.0,1.61,
1980-01-18,3.67,55.4,-76.3,98.36,-2.91,-7.58,-1.97,0.0,0.36,0.37,0.4,0.38,3.64,0.0,-102.82,98.25,-5.1,-9.22,-2.45,-0.45,0.36,0.37,0.39,0.38,3.69,257.37,-57.22,98.49,1.38,-5.71,-1.38,0.75,0.36,0.37,0.4,0.38,0.0,1.08,
1980-01-19,3.61,56.85,-72.29,98.23,-3.1,-6.69,-1.57,0.01,0.36,0.37,0.39,0.38,3.57,0.0,-104.48,98.14,-6.02,-8.36,-1.87,-0.4,0.36,0.37,0.39,0.38,3.64,262.6,-56.95,98.34,1.83,-4.89,-0.9,0.47,0.36,0.37,0.39,0.38,0.0,0.8,
1980-01-20,3.44,51.95,-59.09,98.37,-2.25,-6.23,-1.13,0.6,0.36,0.36,0.39,0.38,3.28,0.0,-92.47,98.2,-5.83,-8.81,-1.81,0.4,0.36,0.36,0.39,0.38,3.58,250.96,-34.57,98.54,3.47,-3.96,-0.78,0.82,0.36,0.37,0.39,0.38,0.05,0.77,
1980-01-21,3.3,56.48,-48.57,98.26,-0.05,-3.78,-1.43,1.68,0.36,0.36,0.39,0.38,2.98,0.0,-105.66,97.69,-4.23,-5.94,-2.39,0.42,0.36,0.36,0.39,0.38,4.17,267.06,-5.23,98.56,4.91,-0.67,-0.81,3.37,0.37,0.36,0.39,0.38,2.29,1.49,
1980-01-22,3.47,41.61,-37.8,97.65,3.23,0.97,0.77,2.88,0.4,0.37,0.39,0.38,2.89,0.0,-64.53,97.55,1.74,0.02,-0.45,2.48,0.38,0.36,0.39,0.38,4.18,200.6,-3.79,97.75,6.34,1.85,1.98,3.24,0.41,0.38,0.39,0.38,4.29,0.97,
1980-01-23,2.48,46.85,-42.19,97.62,2.72,0.6,1.8,2.43,0.41,0.39,0.39,0.38,2.14,0.0,-82.77,97.54,1.3,-0.29,0.2,1.72,0.4,0.38,0.39,0.38,2.87,229.43,-14.71,97.71,5.04,1.53,4.08,2.81,0.42,0.39,0.39,0.38,5.59,1.09,
1980-01-24,3.08,15.45,-6.46,97.58,1.36,0.84,0.14,0.44,0.43,0.41,0.39,0.38,2.16,0.0,-30.5,97.19,0.56,-0.66,-1.4,-0.71,0.41,0.39,0.39,0.38,3.66,90.21,0.58,98.15,2.7,1.8,1.92,1.7,0.44,0.42,0.4,0.38,11.45,0.14,
1980-01-25,3.11,37.8,-35.55,98.65,1.25,0.12,2.18,0.81,0.41,0.41,0.4,0.38,2.84,0.0,-73.34,98.2,-0.13,-0.97,0.79,0.46,0.41,0.41,0.4,0.38,3.33,211.4,-2.81,99.05,3.95,1.12,3.42,1.12,0.41,0.42,0.4,0.38,2.64,0.54,
1980-01-26,3.42,41.46,-41.08,99.17,0.21,-1.62,1.87,-0.48,0.4,0.41,0.4,0.38,3.3,0.0,-72.64,99.04,-0.8,-3.03,1.38,-2.38,0.4,0.41,0.4,0.38,3.64,200.01,-9.5,99.33,1.91,-0.42,2.73,0.52,0.41,0.41,0.4,0.38,0.9,0.72,
1980-01-27,4.66,41.51,-47.99,99.59,0.16,-2.74,2.56,-0.5,0.39,0.4,0.4,0.38,3.71,0.0,-80.62,99.3,-2.04,-4.37,-0.81,-1.58,0.39,0.4,0.4,0.38,5.35,178.73,-23.36,100.07,3.08,-1.45,4.46,0.32,0.4,0.41,0.4,0.38,2.41,1.42,
1980-01-28,5.18,50.41,-47.77,99.72,-1.41,-4.87,-1.42,0.7,0.39,0.4,0.4,0.38,5.12,0.0,-89.6,99.26,-3.93,-5.86,-1.91,-0.5,0.39,0.4,0.4,0.38,5.25,235.43,-13.88,100.14,1.87,-3.32,-0.8,1.75,0.39,0.4,0.4,0.38,0.2,0.96,
1980-01-29,5.02,28.98,-25.7,99.13,0.88,-1.75,0.69,1.09,0.39,0.39,0.4,0.38,4.75,0.0,-51.62,98.9,-0.98,-4.6,-0.87,0.61,0.38,0.39,0.4,0.38,5.25,127.46,-9.5,99.27,3.28,0.29,1.5,2.02,0.39,0.4,0.4,0.38,0.0,0.41,
1980-01-30,3.73,17.38,-17.18,98.34,4.56,2.96,2.59,2.39,0.4,0.39,0.4,0.38,1.96,0.0,-55.18,97.88,-0.22,-1.3,0.68,1.83,0.38,0.39,0.4,0.38,4.76,100.56,1.27,98.88,7.53,5.86,4.23,3.09,0.43,0.4,0.4,0.38,4.33,0.55,
1980-01-31,1.03,10.23,-14.38,96.94,7.57,5.17,3.21,3.58,0.43,0.42,0.4,0.38,0.42,0.0,-53.55,96.44,6.33,3.25,1.3,1.63,0.42,0.41,0.4,0.38,1.85,63.4,-0.12,97.83,8.58,6.23,5.02,4.94,0.44,0.44,0.41,0.39,16.25,1.97,
1980-02-01,0.38,31.7,-42.74,97.67,2.97,-1.4,3.82,0.65,0.41,0.42,0.41,0.39,0.27,0.0,-85.14,96.52,-1.17,-5.95,0.22,-2.91,0.4,0.42,0.41,0.39,0.51,150.83,-9.32,98.85,7.11,3.54,5.5,4.31,0.42,0.42,0.41,0.39,2.79,3.15,
1980-02-02,0.53,25.55,-21.29,98.16,3.93,1.12,2.51,3.3,0.41,0.41,0.41,0.39,0.34,0.0,-37.07,97.4,-0.06,-3.65,0.1,2.01,0.4,0.41,0.41,0.39,0.65,140.91,-7.24,98.81,6.36,3.37,5.58,5.55,0.43,0.42,0.41,0.39,4.94,1.89,
1980-02-03,0.21,39.13,-23.28,98.04,4.93,3.14,3.82,2.35,0.42,0.42,0.41,0.39,0.13,0.0,-44.58,97.19,3.64,2.26,1.16,0.35,0.41,0.42,0.41,0.39,0.33,183.22,-5.76,98.54,6.09,3.8,5.3,4.98,0.44,0.44,0.41,0.39,10.59,1.83,
1980-02-04,0.06,35.54,-19.23,97.63,6.36,3.99,3.39,0.64,0.42,0.43,0.42,0.39,0.04,0.0,-46.94,96.82,4.82,1.4,-0.81,-1.58,0.41,0.42,0.42,0.39,0.12,166.89,0.29,98.22,8.61,7.35,7.03,4.05,0.44,0.44,0.42,0.39,13.23,2.12,
1980-02-05,0.02,45.96,-24.87,97.58,8.33,6.08,4.7,2.38,0.42,0.43,0.43,0.39,0.01,0.0,-66.18,97.39,5.91,4.72,-0.89,1.86,0.41,0.42,0.42,0.39,0.04,216.75,3.99,97.85,9.79,8.66,5.73,3.26,0.44,0.44,0.43,0.39,11.2,2.78,
1980-02-06,0.0,54.02,-35.2,98.17,6.58,3.32,3.0,1.65,0.41,0.42,0.43,0.4,0.0,0.0,-66.85,97.9,4.77,1.72,-1.48,1.1,0.4,0.41,0.43,0.39,0.01,251.15,-6.98,98.39,8.66,5.07,5.15,2.53,0.42,0.42,0.43,0.4,3.3,2.87,
1980-02-07,0.0,27.97,-19.95,98.34,5.61,3.88,2.01,1.99,0.41,0.42,0.42,0.4,0.0,0.0,-38.16,97.9,4.39,2.79,-1.37,1.52,0.41,0.41,0.42,0.4,0.0,123.47,-5.36,99.13,6.9,4.7,4.0,2.66,0.44,0.42,0.43,0.4,6.19,1.21,
1980-02-08,0.0,63.22,-52.85,99.25,5.54,2.74,0.42,1.34,0.4,0.41,0.42,0.4,0.0,0.0,-95.95,99.13,2.65,0.73,-1.62,0.69,0.39,0.4,0.42,0.4,0.0,288.39,-20.54,99.39,10.13,5.03,3.0,1.84,0.41,0.41,0.42,0.4,0.13,1.42,
1980-02-09,0.0,57.41,-46.38,98.78,6.39,1.71,-0.65,1.27,0.39,0.4,0.42,0.4,0.0,0.0,-89.81,98.59,1.14,-0.86,-1.66,0.61,0.38,0.39,0.42,0.4,0.0,286.66,-16.37,99.08,13.43,4.64,0.94,2.08,0.39,0.4,0.42,0.4,0.0,1.28,
1980-02-10,0.0,21.55,-28.77,98.85,6.66,4.3,1.67,1.37,0.38,0.39,0.42,0.4,0.0,0.0,-53.56,98.58,4.97,1.22,-0.26,-0.46,0.38,0.39,0.42,0.4,0.0,84.89,-2.18,99.26,8.67,7.34,2.59,2.04,0.39,0.39,0.42,0.4,2.12,0.41,
1980-02-11,0.0,55.52,-44.81,99.61,4.66,1.9,2.35,0.05,0.39,0.39,0.42,0.4,0.0,0.0,-67.02,99.34,3.16,-0.05,1.54,-0.8,0.38,0.38,0.41,0.4,0.0,267.6,-20.05,99.76,7.13,3.84,3.32,0.84,0.4,0.39,0.42,0.4,1.61,1.89,
1980-02-12,0.0,45.66,-27.57,99.75,4.09,1.67,1.24,0.06,0.39,0.39,0.41,0.4,0.0,0.0,-56.64,99.69,2.82,0.48,-0.36,-1.2,0.38,0.38,0.41,0.4,0.0,218.1,-2.64,99.84,6.14,2.69,2.32,1.34,0.4,0.39,0.41,0.41,1.79,1.29,
1980-02-13,0.0,54.16,-41.96,99.28,2.73,-0.8,-1.61,0.63,0.38,0.38,0.41,0.41,0.0,0.0,-63.62,99.06,-1.82,-2.96,-2.41,0.07,0.38,0.38,0.41,0.41,0.0,219.04,-16.09,99.63,6.62,1.17,-0.68,1.48,0.38,0.38,0.41,0.41,1.05,1.62,
1980-02-14,0.0,63.89,-43.98,99.16,2.73,0.52,-0.48,-0.18,0.38,0.38,0.41,0.41,0.0,0.0,-74.79,99.04,-2.03,-2.9,-1.51,-0.67,0.37,0.38,0.41,0.41,0.0,299.1,-17.85,99.26,6.29,2.3,0.77,0.23,0.38,0.38,0.41,0.41,0.07,0.97,
1980-02-15,0.0,52.81,-33.33,99.03,3.18,0.78,0.03,0.7,0.37,0.38,0.41,0.41,0.0,0.0,-64.78,98.89,-0.23,-1.03,-1.03,0.02,0.37,0.37,0.41,0.41,0.0,255.98,-15.21,99.14,6.75,2.63,1.84,1.63,0.37,0.38,0.41,0.41,0.01,1.06,
1980-02-16,0.0,27.65,-14.85,98.8,5.2,3.63,0.98,0.8,0.38,0.37,0.41,0.41,0.0,0.0,-30.03,98.69,3.12,1.15,-0.04,-1.11,0.37,0.37,0.41,0.41,0.0,128.55,-2.94,99.02,7.58,5.66,2.47,1.83,0.39,0.38,0.41,0.41,2.65,0.49,
1980-02-17,0.0,58.45,-35.55,99.46,4.81,2.55,0.67,-1.66,0.38,0.38,0.4,0.41,0.0,0.0,-76.13,99.04,2.03,0.54,-1.02,-2.79,0.37,0.37,0.4,0.41,0.0,240.31,-7.56,99.8,6.88,4.21,1.35,-0.96,0.38,0.38,0.41,0.41,0.78,1.47,
1980-02-18,0.0,52.83,-39.07,99.71,2.56,-1.69,-1.75,-0.16,0.37,0.37,0.4,0.41,0.0,0.0,-66.24,99.59,0.6,-3.65,-2.37,-0.56,0.37,0.37,0.4,0.41,0.0,253.54,-18.36,99.8,4.79,0.23,-1.1,0.09,0.37,0.37,0.4,0.41,0.03,1.9,
1980-02-19,0.0,106.3,-92.03,99.37,2.56,-3.88,-2.91,0.3,0.36,0.37,0.4,0.41,0.0,0.0,-120.71,99.22,-0.46,-4.47,-3.78,-0.18,0.36,0.37,0.4,0.41,0.0,415.58,-45.69,99.59,6.97,-3.32,-2.31,0.8,0.37,0.37,0.4,0.41,0.0,3.69,
1980-02-20,0.0,108.27,-96.03,99.32,3.05,-3.33,-2.24,0.44,0.36,0.37,0.4,0.41,0.0,0.0,-125.46,99.23,-0.8,-5.55,-2.61,-0.07,0.36,0.37,0.4,0.41,0.0,420.88,-76.47,99.38,8.96,-0.84,-1.88,0.68,0.36,0.37,0.4,0.41,0.0,2.82,
1980-02-21,0.0,110.0,-88.08,99.42,2.55,-2.5,-1.77,-0.02,0.35,0.36,0.4,0.41,0.0,0.0,-122.04,99.36,-2.19,-4.91,-2.05,-0.84,0.35,0.36,0.4,0.41,0.0,424.49,-67.0,99.51,9.09,0.42,-1.43,0.32,0.36,0.37,0.4,0.41,0.0,2.01,
1980-02-22,0.0,111.79,-83.89,99.6,2.61,-2.22,-0.96,0.12,0.35,0.36,0.39,0.41,0.0,0.0,-124.35,99.46,-2.52,-4.65,-1.5,-0.42,0.35,0.36,0.39,0.41,0.0,429.6,-62.46,99.78,9.29,1.17,-0.03,0.83,0.35,0.36,0.4,0.41,0.0,1.62,
1980-02-23,0.0,75.28,-53.04,99.92,3.01,-0.57,-1.28,0.91,0.35,0.36,0.39,0.41,0.0,0.0,-63.73,99.8,-2.43,-4.83,-1.56,-0.12,0.35,0.36,0.39,0.41,0.0,266.27,-28.02,100.05,9.23,4.64,-0.75,1.77,0.35,0.36,0.39,0.41,0.05,1.31,
1980-02-24,0.0,111.69,-73.34,99.87,3.66,-0.58,-1.96,-0.16,0.35,0.36,0.39,0.41,0.0,0.0,-114.31,99.7,-1.03,-2.63,-2.86,-0.86,0.35,0.36,0.39,0.41,0.0,427.24,-40.42,100.03,10.34,1.59,-1.28,0.2,0.35,0.36,0.39,0.41,0.0,2.5,
1980-02-25,0.0,113.0,-74.36,99.65,3.91,0.59,-0.56,-0.38,0.35,0.35,0.39,0.41,0.0,0.0,-113.39,99.59,-0.81,-2.15,-1.21,-1.58,0.34,0.35,0.39,0.41,0.0,428.04,-48.9,99.73,10.75,4.09,0.29,0.24,0.35,0.36,0.39,0.41,0.0,1.67,
1980-02-26,0.0,116.41,-80.21,99.64,3.76,0.5,-1.1,-0.77,0.34,0.35,0.39,0.41,0.0,0.0,-121.17,99.56,-1.21,-1.89,-1.69,-1.98,0.34,0.35,0.38,0.4,0.0,444.5,-52.29,99.73,10.4,2.47,-0.68,0.09,0.34,0.35,0.39,0.41,0.0,2.0,
1980-02-27,0.0,120.4,-86.64,99.88,2.0,-1.85,-0.99,-1.45,0.34,0.35,0.38,0.4,0.0,0.0,-123.09,99.72,-2.87,-3.98,-1.73,-2.08,0.34,0.35,0.38,0.4,0.0,457.2,-64.07,100.02,7.69,-0.46,0.05,-0.79,0.34,0.35,0.38,0.4,0.0,2.18,
1980-02-28,0.0,77.6,-50.18,100.08,-0.1,-3.83,-0.0,-1.45,0.34,0.35,0.38,0.4,0.0,0.0,-70.77,99.94,-3.04,-4.67,-0.97,-2.54,0.34,0.35,0.38,0.4,0.02,278.34,-20.78,100.18,2.44,-2.42,1.29,0.6,0.34,0.35,0.38,0.4,0.02,1.78,
1980-02-29,0.32,36.17,-16.56,99.91,1.94,-0.57,2.06,0.3,0.34,0.35,0.38,0.4,0.03,0.0,-29.6,99.81,-0.36,-3.18,1.38,-0.96,0.34,0.35,0.38,0.4,0.49,146.7,-5.51,100.12,4.54,1.3,3.14,0.87,0.34,0.35,0.38,0.4,1.06,1.24,
1980-03-01,0.32,55.64,-27.67,99.55,3.88,1.3,1.71,0.13,0.34,0.35,0.38,0.4,0.25,0.0,-51.65,99.44,0.55,-0.1,1.05,-1.22,0.34,0.35,0.38,0.4,0.38,274.22,-9.91,99.78,6.83,2.18,3.17,0.85,0.34,0.35,0.38,0.4,0.06,1.59,
1980-03-02,0.22,77.07,-42.48,98.94,3.05,0.06,0.83,-0.71,0.34,0.35,0.37,0.4,0.18,0.0,-71.68,98.52,0.7,-0.75,-0.49,-1.63,0.34,0.35,0.37,0.4,0.25,316.66,-13.19,99.41,5.44,1.44,3.06,0.31,0.34,0.35,0.38,0.4,0.03,1.63,
1980-03-03,0.23,95.97,-65.22,98.93,1.34,-5.09,2.12,-1.4,0.34,0.34,0.37,0.4,0.18,0.0,-101.34,98.58,-1.35,-8.68,1.42,-3.23,0.34,0.34,0.37,0.4,0.28,337.26,-26.06,99.08,3.71,-0.1,3.35,0.87,0.34,0.35,0.37,0.4,0.59,3.53,
1980-03-04,0.28,73.41,-46.84,99.24,0.4,-4.3,1.31,-0.29,0.34,0.34,0.37,0.4,0.27,0.0,-72.93,99.03,-1.7,-6.19,0.09,-1.31,0.34,0.34,0.37,0.4,0.29,266.63,-25.63,99.38,3.33,-3.19,2.3,1.54,0.34,0.34,0.37,0.4,0.02,1.78,
1980-03-05,0.23,124.18,-74.89,98.8,2.85,-2.7,-1.51,1.02,0.34,0.34,0.37,0.4,0.19,0.0,-120.14,98.3,-2.68,-5.1,-2.55,0.2,0.33,0.34,0.37,0.4,0.27,443.42,-32.67,99.29,9.03,-1.11,0.2,2.05,0.34,0.34,0.37,0.4,0.0,2.96,
1980-03-06,0.15,52.03,-27.34,97.53,4.83,1.95,0.37,2.69,0.35,0.34,0.37,0.4,0.09,0.0,-63.1,96.58,1.16,-1.88,-0.94,1.78,0.33,0.34,0.37,0.4,0.19,214.89,-0.8,98.27,8.13,4.28,3.33,3.64,0.39,0.34,0.37,0.4,5.31,1.45,
1980-03-07,0.05,89.15,-47.94,96.44,6.41,2.21,2.43,2.64,0.4,0.36,0.36,0.4,0.03,0.0,-98.31,96.18,3.41,-0.98,-1.0,1.62,0.38,0.34,0.36,0.4,0.08,354.17,-0.92,96.7,8.76,5.64,5.56,3.73,0.41,0.37,0.37,0.4,5.98,3.95,
1980-03-08,0.02,105.36,-64.5,96.9,4.52,0.07,0.29,1.15,0.38,0.37,0.36,0.4,0.02,0.0,-98.6,96.66,0.73,-2.01,-1.29,0.24,0.37,0.37,0.36,0.4,0.03,352.87,-34.38,97.38,8.76,2.0,1.55,2.43,0.38,0.37,0.36,0.4,1.29,2.28,
1980-03-09,0.02,83.6,-43.83,98.29,3.96,1.98,2.2,-0.04,0.38,0.37,0.36,0.4,0.01,0.0,-79.97,97.48,0.93,0.46,1.47,-1.02,0.37,0.37,0.36,0.4,0.02,311.57,-22.81,98.98,8.16,4.1,3.09,0.58,0.39,0.37,0.36,0.4,3.07,1.83,
1980-03-10,0.01,74.15,-35.96,99.03,4.1,1.59,1.29,0.63,0.38,0.37,0.36,0.4,0.01,-0.0,-66.72,98.83,1.14,0.57,-0.23,-0.12,0.38,0.37,0.36,0.4,0.01,327.23,-2.86,99.15,8.03,2.77,2.5,1.61,0.39,0.37,0.36,0.4,1.56,1.82,
1980-03-11,0.01,53.24,-25.61,98.8,4.85,2.78,1.18,0.53,0.4,0.38,0.36,0.4,0.0,-0.0,-78.84,98.57,3.22,1.91,-0.2,-0.6,0.38,0.37,0.36,0.4,0.01,219.54,-2.73,99.13,7.82,3.59,2.1,1.63,0.41,0.38,0.36,0.4,4.62,1.25,
1980-03-12,0.0,82.24,-44.68,98.97,4.1,0.45,1.82,1.12,0.38,0.38,0.36,0.4,0.0,-0.0,-65.19,98.55,0.9,-0.73,-0.39,0.7,0.38,0.38,0.36,0.4,0.0,323.99,-17.66,99.21,7.23,2.18,3.38,1.74,0.39,0.38,0.36,0.4,0.71,2.58,
1980-03-13,0.0,61.4,-25.57,97.87,5.45,2.9,-0.9,1.26,0.39,0.38,0.36,0.4,0.0,0.0,-38.35,97.63,2.81,-0.56,-1.63,-0.73,0.38,0.38,0.36,0.4,0.0,254.31,-7.06,98.49,8.64,5.24,0.43,2.19,0.41,0.39,0.36,0.4,4.71,1.54,
1980-03-14,0.0,86.03,-63.12,97.6,5.71,1.11,-2.2,-1.6,0.39,0.39,0.36,0.4,0.0,0.0,-90.56,97.45,1.41,-0.27,-3.17,-3.1,0.38,0.38,0.36,0.4,0.0,323.05,-36.9,97.9,11.56,2.85,-1.31,-0.76,0.4,0.39,0.36,0.4,0.01,3.32,
1980-03-15,0.0,94.34,-60.21,98.03,6.15,1.08,-0.71,-2.03,0.37,0.38,0.36,0.4,0.0,-0.0,-77.64,97.91,1.68,-1.42,-2.42,-2.32,0.37,0.38,0.36,0.4,0.0,370.02,-36.88,98.2,11.48,3.27,1.17,-0.86,0.38,0.38,0.36,0.4,0.35,3.31,
1980-03-16,0.0,105.44,-49.89,98.58,5.73,1.47,-0.16,-0.9,0.37,0.38,0.36,0.4,0.0,-0.0,-85.41,98.22,0.11,-1.52,-0.86,-1.97,0.37,0.38,0.36,0.4,0.0,447.57,-18.74,98.76,10.58,3.24,0.85,0.33,0.37,0.38,0.36,0.4,0.1,2.68,
1980-03-17,0.0,76.3,-38.55,98.44,6.5,3.15,0.43,-1.15,0.37,0.37,0.36,0.4,0.0,0.0,-53.96,98.13,2.41,1.73,-0.14,-1.55,0.36,0.37,0.36,0.4,0.0,296.81,-21.66,98.72,10.01,4.06,1.03,-0.4,0.37,0.37,0.36,0.4,0.31,1.95,
